HS 8 digit code ,HS 8 digit code (no decimal),HS 10 digit code,"Customs value in $, 2017",Reader friendly descriptions,Product description,Tariff (%),Proposed higher tariff (%)
0303.12.00,03031200,,,Salmon,"Pacific salmon, other than sockeye, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.13.00,03031300,,,Salmon,"Atlantic salmon and Danube salmon, frozen, excluding livers and roes.",0.1,0.25
0303.14.00,03031400,,,Trout ,"Trout, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.19.01,03031901,,,Salmon,"Salmonidae, other than trout or Atlantic and Danube salmon, nesoi, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.23.00,03032300,,,,"Tilapias, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.24.00,03032400,,,Catfish,"Catfish, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.25.01,03032501,,,Carp,"Carp, frozen excluding fillets, livers and roes.",0.1,0.25
0303.26.00,03032600,,,,"Eels, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.29.01,03032901,,,,"Other fish in 0303.2 grouping nesoi, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.31.00,03033100,,,Halibut,"Halibut and Greenland turbot, frozen, excluding fillets, other meat portions & livers and roes.",0.1,0.25
0303.32.00,03033200,,,,"Plaice, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.33.00,03033300,,,,"Sole, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.34.00,03033400,,,,"Turbots, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.39.01,03033901,,,,"Flat fish, other than halibut, Greenland turbot, plaice and sole, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.41.00,03034100,,,,"Albacore or longfinned tunas, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.42.00,03034200,,,,"Yellowfin tunas, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.43.00,03034300,,,,"Skipjack or stripe-bellied bonito, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.44.00,03034400,,,,"Bigeye tunas (Thunnas obesus), frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.45.01,03034501,,,,"Atlantic and Pacific bluefin tunas, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.46.00,03034600,,,,"Southern bluefin tunas (Thunnas maccoyii), frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.49.02,03034902,,,,"Tunas, not elsewhere specified or included, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.51.00,03035100,,,,"Herrings, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.53.00,03035300,,,,"Sardines, sardinella, brisling or sprats, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.54.00,03035400,,,,"Mackerel, frozen, excluding fillets, livers and roes.",0.1,0.25
0303.55.00,03035500,,,,"Jack & horse mackerel, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.56.00,03035600,,,,"Cobia, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.57.00,03035700,,,,"Swordfish steaks, other swordfish, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.59.00,03035900,,,,"Other fish, frozen, excluding fillets, livers, roes and herrings.",0.1,0.25
0303.63.00,03036300,,,,"Cod, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.64.00,03036400,,,,"Haddock, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.65.00,03036500,,,,"Coalfish, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.66.00,03036600,,,,"Hake, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.67.00,03036700,,,,"Alaska pollack, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.68.00,03036800,,,,"Blue whitings, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.69.00,03036900,,,,"Other fish in Bregmacerotidae et al, etc. frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.81.00,03038100,,,,"Dogfish and other sharks, frozen, excluding fillets, livers, roes and fish meat of 0304.",0.1,0.25
0303.82.00,03038200,,,,"Rays & skates, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.83.00,03038300,,,,"Toothfish excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.84.00,03038400,,,,"Sea bass, frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.89.00,03038900,,,,"Smelts, cusk, pollock, shad, sturgeon, atkafish, fresh-water fish, etc. frozen, excluding fillets, other meat portions, livers and roes.",0.1,0.25
0303.91.20,03039120,,,,"Sturgeon roe, frozen.",0.1,0.25
0303.91.40,03039140,,,Salmon,"Herring, salmon, alaskan pollock, mullet, other fist liver and roes, frozen.",0.1,0.25
0303.92.00,03039200,,,,"Shark fins excluding fillets, frozen.",0.1,0.25
0303.99.00,03039900,,,,"Other fish, frozen, nesoi.",0.1,0.25
0304.31.00,03043100,,,,"Tilapias, fillets, fresh or chilled.",0.1,0.25
0304.32.00,03043200,,,,"Catfish, fillets, fresh or chilled.",0.1,0.25
0304.33.00,03043300,,,,"Nile perch, fillets, fresh or chilled.",0.1,0.25
0304.39.00,03043900,,,,"Eels or snakeheads, fillets, fresh or chilled.",0.1,0.25
0304.41.00,03044100,,,Salmon,"Salmon fillets, fresh or chilled.",0.1,0.25
0304.42.00,03044200,,,,"Trout, fillets, fresh or chilled.",0.1,0.25
0304.43.00,03044300,,,,"“Flat fish”, sole, plaice, etc. fillets, fresh or chilled.",0.1,0.25
